round,date,home_club_name,away_club_name,player_position,goals,assists,own_goals,yellow_cards,red_cards,substituted_on,substituted_off,minutes_played,player_transfermarkt_rating,club_confederation,club_domestic_competition,competition,player_club_name,player_name,game_id,player_id,appearance_id,home_club_id,away_club_id,home_club_goals,away_club_goals,season
5,2018-09-15,fc-watford,manchester-united,LB,0,0,0,2,1,84,0,6,,europa,GB1,GB1,fc-watford,adam-masina,1,1,1,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,LM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,roberto-pereyra,1,3,68,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RW,0,0,0,2,1,88,0,2,,europa,GB1,GB1,fc-watford,isaac-success,1,4,104,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CB,0,0,0,2,1,0,88,88,,europa,GB1,GB1,fc-watford,craig-cathcart,1,5,139,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,etienne-capoue,1,6,180,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,will-hughes,1,7,219,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,abdoulaye-doucoure,1,8,259,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CF,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,troy-deeney,1,9,299,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,LB,0,0,0,2,1,0,84,84,,europa,GB1,GB1,fc-watford,jose-holebas,1,10,336,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,ben-foster,1,11,368,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,fc-watford,christian-kabasele,1,12,406,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RB,0,0,0,2,1,72,0,18,,europa,GB1,GB1,fc-watford,kiko-femenia,1,13,429,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RB,0,0,0,2,1,0,72,72,,europa,GB1,GB1,fc-watford,daryl-janmaat,1,14,463,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CF,1,1,1,2,1,0,0,90,,europa,GB1,GB1,fc-watford,andre-gray,1,15,485,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CF,1,1,1,2,1,0,0,90,,europa,GB1,GB1,manchester-united,romelu-lukaku,1,16,519,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,LB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,ashley-young,1,17,564,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RW,0,0,0,2,1,71,0,19,,europa,GB1,GB1,manchester-united,anthony-martial,1,18,605,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,LW,0,0,0,2,1,0,84,84,,europa,GB1,GB1,manchester-united,alexis-sanchez,1,19,643,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,1,20,670,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CB,1,1,1,2,1,0,0,90,,europa,GB1,GB1,manchester-united,chris-smalling,1,21,717,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,0,0,0,0,2,1,90,0,1,,europa,GB1,GB1,manchester-united,eric-bailly,1,22,751,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CM,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,nemanja-matic,1,23,769,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CM,0,0,0,2,1,84,0,6,,europa,GB1,GB1,manchester-united,scott-mctominay,1,24,807,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RW,0,0,0,2,1,0,71,71,,europa,GB1,GB1,manchester-united,jesse-lingard,1,25,829,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,victor-lindelof,1,26,865,1,1,1,2.0,2018
5,2018-09-15,fc-watford,manchester-united,RB,0,0,0,2,1,0,90,90,,europa,GB1,GB1,manchester-united,antonio-valencia,1,27,905,1,1,1,2.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CF,0,0,0,2,1,0,73,73,,europa,GB1,GB1,manchester-united,romelu-lukaku,7517,16,542,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,0,0,57,,europa,GB1,GB1,manchester-united,ashley-young,7517,17,585,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CF,0,0,0,2,1,73,0,17,,europa,GB1,GB1,manchester-united,anthony-martial,7517,18,624,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,GK,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,david-de-gea,7517,20,696,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CB,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,chris-smalling,7517,21,734,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,CM,1,1,1,2,1,0,0,90,,europa,GB1,GB1,manchester-united,scott-mctominay,7517,24,819,2,1,2,1.0,2018
33,2019-04-02,wolverhampton-wanderers,manchester-united,SS,0,0,0,2,1,0,0,90,,europa,GB1,GB1,manchester-united,jesse-lingard,7517,25,846,2,1,2,1.0,2018
